+-------------+----------+-----------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------+
|  Component  |     $USD |      $CAD |    Site   | Name                                                                                                                                       |
|    Memory   | * $139.0 |    $194.0 |   MicroC  | Crucial 16GB DDR3-1866 (PC3-14900) CL13 Unbuffered Desktop Memory Kit (Two 8GB Memory Modules) - for Mac Pro Systems                       |
|    Memory   |    $79.0 |  * $109.0 |    NCIX   | Corsair Vengeance Pro Gold 16GB 2X8GB DDR3-2400 CL11 1.65V Non-ECC Intel XMP Desktop Memory                                                |
|    Memory   |   $107.0 |  * $149.0 |    NCIX   | Kingston HyperX Fury Black 16GB 2X8GB 2133MHZ DDR4 Non-ECC CL14 DIMM Dual Channel Memory                                                   |
|    Memory   |   $100.0 |  * $139.0 |    NCIX   | Kingston HyperX Fury Black 16GB 4X4GB 2400MHZ DDR4 Non ECC CL15 DIMM Quad Channel Memory                                                   |
|    Memory   |    $89.0 |  * $124.0 |    NCIX   | Corsair Vengeance Pro Red 16GB 2X8GB DDR3-2400 CL11 1.65V Non-ECC Intel XMP Desktop Memory                                                 |
|    Memory   |   $193.0 |  * $269.0 |    NCIX   | Kingston HyperX Predator T2 16GB 4X4GB Kits DDR4-3000MHZ Non-ECC CL15 DIMM XMP Quad Channel Memory                                         |
|    Memory   |   $136.0 |  * $189.0 |    NCIX   | Patriot Viper 3 16GB 2X8GB DDR3 1600MHz Non-ECC UDIMM 10-10-10-27 Sapphire Blue Dual Memory Kit                                            |
|    Memory   |   $150.0 |  * $209.0 |    NCIX   | Kingston ValueRAM 16GB 2X8GB Kits DDR3-1600 CL11 NON-ECC SODIMM Dual Channel Memory                                                        |
|    Memory   |   $204.0 |  * $284.0 |    NCIX   | Kingston HyperX Predator 16GB 4X4GB Kits DDR4-2800MHZ Non ECC CL14 DIMM XMP Quad Channel Memory                                            |
|    Memory   |   $158.0 |  * $219.0 |    NCIX   | Kingston KVR21R15D4/16 16GB DDR4-2133MHZ ECC Reg CL15 DIMM DR X4 W/TS Memory                                                               |
|    Memory   |   $120.0 |  * $167.0 |    NCIX   | Crucial Memory CT16G4RFD4213 16GB DDR4 X4 2133 ECC Registered 1.2V Retail                                                                  |
|    Memory   |    $77.0 |  * $107.0 |    NCIX   | Kingston KVR16N11K2/16 16GB 2X8GB Kits DDR3-1600 NON-ECC CL11 DIMM Dual Channel Memory                                                     |
|    Memory   |   $120.0 |  * $167.0 |    NCIX   | Kingston KVR13N9K2/16 16GB 2X8GB DDR3-1333 CL9 DIMM Non-ECC Dual Channel Memory Kit                                                        |
|    Memory   |   $116.0 |  * $162.0 |    NCIX   | Crucial Memory CT2KIT102472BD160B 16GB(2X8) Kit DDR3 PC3 12800 ECC UDIMM 240P                                                              |
|    Memory   |   $143.0 |  * $199.0 |    NCIX   | Kingston HyperX Predator T2 Black 16GB 4X4GB Kits DDR4-2133MHZ Non-ECC CL13 XMP Quad Channel Memory                                        |
